error_code;departure_code;destination_code
404;FRAEG;FRAIE
404;FRAEJ;FRAIE
404;FRXSQ;FRAIE
404;FREAH;FRAEJ
404;FREAJ;FRBOJ
404;FRADE;FRAIE
404;FRXTH;FREAH
404;FRLPE;FRAIE
404;FRLPD;FRAIE
404;FRXCC;FRMLV
404;FRMLV;FRLLE
404;FRENC;FRAVG
404;FRAEK;FRAIE
404;FRTJA;FRAIE
404;FRTJB;FRAIE
404;FRABA;FRAIE
404;FRHGU;FRAIE
404;FRFNI;FRMLV
404;FRMPL;FRMLV
404;FRAVG;FRAIE
404;FRAIE;FRMSC
404;FRMSC;FRAIE
404;FRXCD;FRAIE
404;FRVLA;FRMLV
404;FRXBV;FRAIE
404;FRNIC;FRLLE
404;FRXAT;FRLLE
404;FRJCA;FRLLE
404;FRXSK;FRLLE
404;FRXRS;FRLLE
404;FRTLN;FRLLE
404;FRRNT;FREAH
404;FREPL;FREAH
404;FRLLE;FRMLV
404;FRTHP;FRMLV
404;FRCDG;FRMLV
404;FRQRV;FRSUF
404;FRXZP;FRMLV
404;FRSUF;FRMLV
404;FRXSY;FRCCF
404;FRXAG;FRMLV
404;FRBZR;FRCCF
404;FRXNA;FRCCF
404;FRPGF;FRMLV
404;FRADJ;FRMLV
404;FRGWE;FRMLV
404;FRXDN;FRAIE
404;FRDJU;FRADJ
404;FRXSH;FRMLV
404;FRPIS;FRCDG
404;FRANG;FRCDG
404;FRBOJ;FRCDG
404;FRAET;FRMLV
404;FRACL;FRTHP
404;FRNTE;FRTHP
404;FRRNS;FRCDG
404;FRACR;FRTHP
404;FRAEZ;FRMPU
404;FRMPU;FRAEZ
404;FRACN;FRDJU
404;FREAM;FRLLE
404;FRPLY;FRAIE
404;FRXHE;FRAIE
404;FRJDQ;FRPLY
404;FRXMT;FRPLY
404;FRVAF;FRJDQ
404;FRXMK;FRJDQ
404;FRXOG;FRJDQ
404;FRAES;FRJDQ
404;FRMAZ;FRJDQ
404;FRMLT;FRCMF
404;FRCMF;FRHPN
404;FRXBF;FRPLY
404;FRQNJ;FRPLY
404;FRXTS;FRPLY
404;FRXEB;FRPLY
404;FRHPN;FRPLY
404;FRAGR;FRPLY
404;FRCCF;FRLPD
404;FRXYT;FRFNI
404;FRGNB;FRJDQ
404;FRXAI;FRNCY
404;FRNCY;FRPLY
404;FRADM;FRANG
404;FRPMO;FRAGF
404;FRAGF;FRXMW
404;FRSBK;FRACR
404;FRGGP;FRACR
404;FRMXN;FRACR
404;FRBES;FRACR
404;FRLAM;FRSBK
404;FRPLT;FRBES
404;FRXRN;FRECO
404;FRVNE;FRECO
404;FRXUY;FRECO
404;FRLRT;FRECO
404;FRXVT;FRPMO
404;FRUIP;FRRSP
404;FRECO;FRUIP
404;FRRSP;FRECO
404;FRXSB;FRDOL
404;FRDOL;FRXSB
404;FRXRO;FRPMO
404;FRSNR;FRPMO
404;FRJEE;FRSNR
404;FREGU;FRJEE
404;FREGR;FREGU
404;FREGS;FREGU
404;FRSAB;FRXRO
404;FRLSO;FRPMO
404;FRFAC;FRANG
404;FRXAC;FRANG
404;FRFCJ;FRANG
404;FRXLR;FRANG
404;FRESL;FRXCX
404;FRXCX;FRXLR
404;FRACG;FRPMO
404;FRXBY;FRPMO
404;FRBIQ;FRPMO
404;FRXJZ;FRPMO
404;FRAEF;FRPMO
404;FRNIT;FRPMO
404;FREIP;FRPMO
404;FRLRH;FRPMO
404;FREJC;FRPMO
404;FRAFW;FRLRH
404;FRGFI;FRACG
404;FRAEE;FRACG
404;FRLDE;FRACG
404;FRXTB;FRACG
